"age","industry","title","context","salary","benefits","currency","currency.other","income_context","country","us_state","city","exp_total","exp_field","education","gender","race"
"35-44","nonprofits","HUMAN RESOURCES BUSINESS PARTNER","",75000,NA,NA,"","","UNITED STATES","Nevada","CARSON CITY","11 - 20 years",NA,"College degree","Woman","White"
"35-44","computing or tech","VICE PRESIDENT","Head of a Centre of Excellence with 45 employees",50000,12000,NA,"","","LATVIA",NA,"RIGA","11 - 20 years","11 - 20 years","Master's degree","Man","White"
"45-54","computing or tech","SENIOR COUNSEL","",250000,3e+05,NA,"","","UNITED STATES","California","SAN FRANCISCO","21 - 30 years","21 - 30 years","Professional degree (MD, JD, etc.)","Woman","White"
"25-34","government and public administration","PROJECT MANAGER","",1e+05,NA,NA,"","","AUSTRALIA",NA,"SYDNEY","8 - 10 years","2 - 4 years","PhD","Woman","White"
"35-44","marketing, advertising and pr","COMMUNICATIONS SPECIALIST","",65000,NA,NA,"","","CANADA",NA,"TORONTO, ONTARIO","21 - 30 years","5-7 years","College degree","Man","White"
"35-44","research","EXECUTIVE ASSISTANT","",36000,NA,NA,"","","UNITED KINGDOM/UK",NA,"OXFORD","11 - 20 years",NA,"College degree","Woman","White"
"25-34","recruitment or hr","BUSINESS SUPPORT","",31000,3000,NA,"","","UNITED KINGDOM/UK",NA,"LONDON","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","engineering or manufacturing","PROCESS ENGINEER","",131000,0,NA,"","","UNITED STATES","Texas","CORPUS CHRISTI","8 - 10 years",NA,"College degree","Woman","White"
"25-34","computing or tech","PROJECT MANAGER","",97000,6000,NA,"","","UNITED STATES","Pennsylvania","PHILADELPHIA","5-7 years","5-7 years","College degree","Woman","White"
"35-44","accounting, banking and finance","SR PAYROLL SPECIALIST","",75000,0,NA,"","","UNITED STATES","Utah","DRAPER","11 - 20 years",NA,"College degree","Woman","Another option not listed here or prefer not to answer"
"25-34","sales","ACCOUNT MANAGER","",80000,40000,NA,"","","UNITED STATES","Texas","AUSTIN","5-7 years","5-7 years","College degree","Woman","White"
"25-34","aerospace","COMMUNICATIONS SPECIALIST","",107000,5000,NA,"","","UNITED STATES","Illinois","CHICAGO","8 - 10 years",NA,"College degree","Woman","White"
"45-54","government and public administration","EDITOR","",96357,0,NA,"","","UNITED STATES","District of Columbia","WASHINGTON, DC","31 - 40 years","21 - 30 years","Some college","Man","White"
"35-44","government and public administration","LEAVE MANAGEMENT COORDINATOR","",48609,NA,NA,"","","UNITED STATES","Minnesota","ST PAUL","11 - 20 years","5-7 years","Master's degree","Woman","White"
"25-34","education (higher education)","BUSINESS SYSTEMS ANALYST","",70400,0,NA,"","","UNITED STATES","Pennsylvania","PHILADELPHIA","5-7 years","2 - 4 years","Master's degree","Non-binary","White"
"25-34","nonprofits","RESOURCES COORDINATOR","",60000,NA,NA,"","","UNITED STATES","North Carolina","REMOTE, NORTH CAROLINA","5-7 years","2 - 4 years","Master's degree","Woman","Hispanic, Latino, or Spanish origin, White"
"25-34","computing or tech","SENIOR NETWORK ANALYST","NOC Analyst",62000,0,NA,"","","UNITED STATES","Ohio","COLUMBUS","5-7 years","5-7 years","College degree","Woman","White"
"35-44","computing or tech","BUSINESS ANALYST III","",75000,1000,NA,"","","UNITED STATES","Florida","JACKSONVILLE","11 - 20 years","2 - 4 years","Master's degree","Woman","White"
"25-34","computing or tech","SENIOR SOFTWARE ENGINEER","",135000,50000,NA,"","RSUs in addl question are variable but based on current stock price, 50k","UNITED STATES","Colorado","DENVER","8 - 10 years","5-7 years","College degree","Woman","White"
"55-64","computing or tech","ENGINEERING MANAGER","",201000,40000,NA,"","","UNITED STATES","Pennsylvania","PITTSBURGH","31 - 40 years","31 - 40 years","College degree","Woman","White"
"45-54","computing or tech","SYSTEMS ADMINISTRATOR","",91000,0,NA,"","","UNITED STATES","North Carolina","RALEIGH","21 - 30 years","21 - 30 years","College degree","Man","White"
"35-44","education (higher education)","APPLICATIONS ADMINISTRATOR","Programmer/Linux Admin/Library IT",74500,0,NA,"","","UNITED STATES","Virginia","WILLIAMSBURG","21 - 30 years","21 - 30 years","Some college","Man","White"
"35-44","computing or tech","NOC ENGINEER","Level 1 / 2 help desk for MSP, Sysadmin, light network engineer",43000,4000,NA,"","43k / year + quarterly 1k bonus","UNITED STATES","Ohio","TOLEDO","21 - 30 years",NA,"Some college","Man","White"
"45-54","entertainment","MUSICIAN","",42000,0,NA,"","","UNITED STATES","Ohio","CLEVELAND","21 - 30 years","21 - 30 years","Some college","Man","White"
"25-34","sales","SENIOR ACCOUNT EXECUTIVE","Inbound Sales team",67000,4000,NA,"","","UNITED STATES","Illinois","CHICAGO","2 - 4 years","2 - 4 years","College degree","Woman","White"
"35-44","health care","RESEARCH SCIENTIST I","",110000,52000,NA,"","","UNITED STATES","Massachusetts","BOSTON","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","education (higher education)","ASSOCIATE PROFESSOR","",53000,0,NA,"","","UNITED STATES","Washington","LACEY","11 - 20 years","11 - 20 years","PhD","Woman","White"
"25-34","social work","TEAM LEADER","",48300,500,NA,"","","UNITED STATES","Indiana","INDIANAPOLIS","2 - 4 years","2 - 4 years","College degree","Man","White"
"25-34","education (higher education)","POST DOCTORAL RESEARCH ASSOCIATE","Private institution, R1, NCI funded",53000,0,NA,"","","UNITED STATES","Ohio","COLUMBUS","2 - 4 years","2 - 4 years","PhD","Woman","White"
"25-34","social work","THERAPIST","LCSW and Registered Play Therapist at a group private practice ",72000,0,NA,"","","UNITED STATES","Virginia","RICHMOND","8 - 10 years","2 - 4 years","Master's degree","Woman","White"
"45-54","business or consulting","CONTENT WRITER","",125000,NA,NA,"","","UNITED STATES","Oregon","SILVERTON","21 - 30 years","21 - 30 years","Master's degree","Woman","White"
"35-44","computing or tech","MANAGING DIRECTOR","",123000,NA,NA,"","","UNITED KINGDOM/UK",NA,"BRISTOL","21 - 30 years","21 - 30 years","College degree","Man","White"
"25-34","nonprofits","ADMINISTRATIVE ASSISTANT","",41250,NA,NA,"","","UNITED STATES","Pennsylvania","PHILADELPHIA","5-7 years","5-7 years","Master's degree","Non-binary","White"
"25-34","health care","CERTIFIED PHARMACY TECHNICIAN","Retail Pharmacy Technician",40000,0,NA,"","","UNITED STATES","California","SANTA ANA, CA","8 - 10 years","5-7 years","Some college","Man","White"
"35-44","insurance","SENIORACTUARY","",240000,84000,NA,"","","UNITED STATES","New York","NEW YORK","11 - 20 years","11 - 20 years","College degree","Man","Asian or Asian American, White"
"25-34","computing or tech","ASSOCIATE ANALYTICS ENGINEER","dbt, Python, SQL, airflow, data pipelines",85000,0,NA,"","","UNITED STATES","California","CARLSBAD","5-7 years","1 year or less","Master's degree","Man","Another option not listed here or prefer not to answer"
"35-44","law","ASSISTANT DISTRICT ATTORNEY","",85000,NA,NA,"","","UNITED STATES","Pennsylvania","PHILADELPHIA","8 - 10 years",NA,"Professional degree (MD, JD, etc.)","Woman","White"
"35-44","education (higher education)","FACULTY","",1e+05,35000,NA,"","","CANADA",NA,"VANCOUVER","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","computing or tech","IT PROJECT MANAGER","",51600,NA,NA,"","","GERMANY",NA,"MUNICH","5-7 years","1 year or less","College degree","Woman","White"
"25-34","accounting, banking and finance","SR FINANCIAL ANALYST","",74000,10000,NA,"","","UNITED STATES","Wisconsin","KENOSHA","2 - 4 years","2 - 4 years","College degree","Woman","Another option not listed here or prefer not to answer"
"25-34","retail","ASSISTANT CENTER STORE MANAGER","Help manage grocery, dairy, and frozen departments in a grocery store",36000,0,NA,"","","UNITED STATES","Minnesota","ST CLOUD","5-7 years","5-7 years","College degree","Woman","White"
"25-34","engineering or manufacturing","SCIENTIST","",150000,20000,NA,"","","UNITED STATES","California","SAN FRANCISCO","5-7 years","5-7 years","PhD","Woman","Asian or Asian American"
"25-34","education (higher education)","ASSISTANT PROFESSOR","Humanities",67000,NA,NA,"","","UNITED STATES","Georgia","ATHENS","8 - 10 years",NA,"PhD","Man","White"
"25-34","education (primary/secondary)","6TH AND 7TH GRADE MATH TEACHER","",38000,0,NA,"","","UNITED STATES","Ohio","COLUMBUS","5-7 years","5-7 years","College degree","Woman","White"
"25-34","media and digital","DIRECTOR","",160000,20000,NA,"","","UNITED STATES","New York","NEW YORK","8 - 10 years",NA,"College degree","Woman","Asian or Asian American"
"25-34","education (higher education)","RESEARCH ASSOCIATE","",69000,0,NA,"","","UNITED STATES","Colorado","GOLDEN","5-7 years","1 year or less","PhD","Woman","Hispanic, Latino, or Spanish origin, White"
"55-64","law","ATTORNEY","Partner",220000,280000,NA,"","The bonus amount depends entirely on firm profits, could be 0 but likely could be more than I put, $280000 was the lowest it’s been","UNITED STATES","New York","NEW YORK","21 - 30 years","21 - 30 years","Professional degree (MD, JD, etc.)","Woman","White"
"25-34","art and design","EXECUTIVE ASSISTANT","",72500,7000,NA,"","","UNITED STATES","New York","NEW YORK","5-7 years","5-7 years","College degree","Woman","Asian or Asian American, Black or African American, White"
"25-34","book publishing","SENIOR PUBLICIST","",59000,5000,NA,"","","UNITED STATES","New York","NEW YORK CITY","5-7 years","5-7 years","College degree","Woman","White"
"35-44","computing or tech","SENIOR DATABASE ENGINEER","",110000,0,NA,"","","UNITED STATES",NA,"(ANONYMOUS)","11 - 20 years","11 - 20 years","College degree","Not reported","White"
"25-34","sales","CUSTOMER SUCCESS MANAGER","",110000,11000,NA,"","","UNITED STATES","California","SAN FRANCISCO","2 - 4 years","2 - 4 years","College degree","Man","Black or African American"
"25-34","","ARCHIVIST","",25740,0,NA,"","","UNITED STATES","Washington","SEATTLE","5-7 years","5-7 years","College degree","Woman","White"
"35-44","energy","COMMERCIAL ENGINEER","",88000,NA,NA,"","","GERMANY",NA,"INGOLSTADT","11 - 20 years","5-7 years",NA,"Man","White"
"18-24","academic/nonprofit research","DATABASE SPECIALIST","",37440,0,NA,"","I work part-time, $18/hour","UNITED STATES","Massachusetts","NA (REMOTE) LIVE NEAR BOSTON, WORK IS BASED IN UPSTATE NY","1 year or less","1 year or less","College degree","Woman","White"
"25-34","health care","OFFICE MANAGER","",56000,0,NA,"","","UNITED STATES","New York","LONG BEACH","5-7 years","2 - 4 years","College degree","Woman","White"
"25-34","government and public administration","POSTDOC","",66000,NA,NA,"","","UNITED STATES","Maryland","ROCKVILLE","2 - 4 years","2 - 4 years","PhD","Woman","White"
"35-44","education (higher education)","ARCHIVIST","",40000,NA,NA,"","","UNITED STATES","Indiana","ANDERSON","8 - 10 years","5-7 years","Master's degree","Man","White"
"35-44","entertainment","HR DIRECTOR","",175000,25000,NA,"","","UNITED STATES","California","LOS ANGELES","11 - 20 years","11 - 20 years","Professional degree (MD, JD, etc.)","Not reported","Another option not listed here or prefer not to answer"
NA,"","","",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"",""
"25-34","law","TRAINEE SOLICITOR","",50000,NA,NA,"","","UNITED KINGDOM/UK",NA,"LONDON","2 - 4 years","2 - 4 years","Professional degree (MD, JD, etc.)","Woman","White"
"18-24","engineering or manufacturing","ASSOCIATE MECHANICAL ENGINEER","",69000,0,NA,"","","UNITED STATES","Kentucky","LEXINGTON","1 year or less","1 year or less","Master's degree","Man","White"
"25-34","nonprofits","COMMUNICATIONS COORDINATOR","",48000,0,NA,"","","UNITED STATES","Minnesota","MINNEAPOLIS","5-7 years","5-7 years","College degree","Woman","White"
"55-64","government and public administration","EXECUTIVE ASSISTANT","",81455,0,NA,"","Public Administration has amazing benefits ","UNITED STATES","Oregon","XXXX","21 - 30 years","1 year or less","Master's degree","Woman","Hispanic, Latino, or Spanish origin"
"25-34","accounting, banking and finance","COST ANALYST","Operations Researcher for DoD",89000,500,NA,"","","UNITED STATES","Alabama","HUNTSVILLE","2 - 4 years","2 - 4 years","College degree","Man","White"
"25-34","business or consulting","AREA MANAGER","Stormwater consulting (environmental compliance) for construction industry",45000,10000,NA,"","Bonus structure is brand new this year instead of raise","UNITED STATES","Florida","TAMPA BAY REGION","5-7 years","5-7 years","College degree","Woman","White"
"25-34","computing or tech","RESEARCH SCIENTIST","",75000,NA,NA,"","","UNITED KINGDOM/UK",NA,"CAMBRIDGE","2 - 4 years","2 - 4 years","PhD","Woman","White"
"18-24","nonprofits","SECRETARY","",31000,NA,NA,"","","UNITED STATES","New Jersey","BASKING RIDGE","1 year or less","1 year or less","College degree","Non-binary","Asian or Asian American"
"45-54","government and public administration","SENIOR  DIRECTOR OF INFORMATION TECHNOLOGY","",135000,2000,NA,"","","UNITED STATES","Pennsylvania","PHILADELPHIA","21 - 30 years","21 - 30 years","College degree","Man","White"
"35-44","computing or tech","SENIOR SOFTWARE ENGINEER","",150000,NA,NA,"","","UNITED STATES","Ohio","COLUMBUS","11 - 20 years","11 - 20 years","College degree","Man","Asian or Asian American"
"18-24","nonprofits","CUSTOMER CARE ADVISOR","",29700,0,NA,"","","UNITED STATES","Iowa","IOWA CITY","8 - 10 years","2 - 4 years","College degree","Non-binary","White"
"35-44","recruitment or hr","DIRECTOR, HR","",80000,30000,NA,"","","UNITED STATES","Texas","DALLAS","11 - 20 years",NA,"College degree","Woman","White"
"25-34","nonprofits","DEVELOPMENT ASSISTANT","Administrative Assistant for fundraisers in Development department",38300,0,NA,"","","UNITED STATES","Kansas","LAWRENCE","2 - 4 years","2 - 4 years","College degree","Woman","White"
"35-44","computing or tech","ENGINEERING MANAGER","",210000,70000,NA,"","","UNITED STATES",NA,"NEW YORK CITY","11 - 20 years","11 - 20 years","Some college","Man","Asian or Asian American"
"35-44","computing or tech","IT SECURITY ANALYST","",96000,NA,NA,"","","UNITED STATES","Arkansas","LITTLE ROCK","11 - 20 years",NA,"College degree","Woman","White"
"25-34","education (higher education)","ACCOUNTING MANAGER","",66050,NA,NA,"","","UNITED STATES","Idaho","BOISE","8 - 10 years","5-7 years","College degree","Woman","White"
"25-34","nonprofits","SOCIAL WORKER","Care Management ",56000,0,NA,"","","UNITED STATES","New York","NEW YORK","8 - 10 years","5-7 years","Master's degree","Woman","Hispanic, Latino, or Spanish origin"
"25-34","property or construction","OFFICE MANAGER/PA TO CEO","",80000,20000,NA,"","","UNITED KINGDOM/UK",NA,"LONDON","8 - 10 years","2 - 4 years","High School","Woman","White"
"25-34","computing or tech","PRODUCTION MANAGER/PROJECT MANAGER","",438000,NA,NA,"","","SWEDEN",NA,"GOTHENBURG","8 - 10 years","5-7 years","College degree","Woman","White"
"25-34","media and digital","SENIOR SUB-EDITOR","",30000,NA,NA,"","","UNITED KINGDOM/UK",NA,"LONDON","2 - 4 years","2 - 4 years","College degree","Woman","White"
"35-44","computing or tech","AVP OF SOFTWARE DEVELOPMENT","",120000,30000,NA,"","","UNITED STATES","Illinois","CHICAGO","11 - 20 years","11 - 20 years","College degree","Man","White"
"25-34","marketing, advertising and pr","SENIOR MARKETING MANAGER","",65000,600,NA,"","","UNITED STATES","Texas","DALLAS","8 - 10 years","5-7 years","Master's degree","Woman","White"
"45-54","hospitality and events","RETAIL MANAGER","Attractions",50000,4000,NA,"","","UNITED STATES","Washington","SEATTLE","21 - 30 years",NA,"Master's degree","Woman","White"
"35-44","education (higher education)","ASSISTANT PROFESSOR","School of Medicine",90000,20000,NA,"","","UNITED STATES","North Carolina","WINSTON-SALEM","11 - 20 years","11 - 20 years","PhD","Woman","White"
"45-54","education (higher education)","DIRECTOR, CHANGE MANAGEMENT AND BUSINESS ANALYSIS STRATEGIES","",136000,0,NA,"","","UNITED STATES","California","IRVINE","21 - 30 years","21 - 30 years","Master's degree","Non-binary","White"
"25-34","health care","CHIROPRACTIC ASSISTANT","",29120,0,NA,"","","UNITED STATES","North Dakota","FARGO","8 - 10 years","2 - 4 years","Some college","Woman","White"
"35-44","law","HR MANAGER","",132500,12000,NA,"","","UNITED STATES","New York","NEW YORK","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","administration in mlm","DIRECTOR","",42000,2000,NA,"","","UNITED STATES","California","ONTARIO","8 - 10 years","5-7 years","Some college","Woman","Hispanic, Latino, or Spanish origin"
"35-44","engineering or manufacturing","COMPLIANCE SENIOR ANALYST","",534300,63800,"Other","Mexican pesos","","MEXICO",NA,"MEXICO CITY","11 - 20 years",NA,"College degree","Woman","Hispanic, Latino, or Spanish origin"
"35-44","computing or tech","ACCOUNT OPERATIONS PROFESSIONAL","",56300,1000,NA,"","","UNITED STATES","Kentucky","LOUISVILLE","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","media and digital","SENIOR EDITOR","I work for a small entertainment trade magazine that has a different business model than ad supported publications.",76000,5000,NA,"","bonuses change but mine tends to always be somewhere around what I listed.","UNITED STATES","New York","NEW YORK CITY","8 - 10 years",NA,"College degree","Woman","White"
"35-44","education (higher education)","HR SPECIALIST","More of a generalist at this point (higher level) ",48960,0,NA,"","","UNITED STATES","North Carolina","RALEIGH","11 - 20 years","5-7 years","Master's degree","Woman","Asian or Asian American"
"45-54","health care","PHYSICIAN ASSISTANT","",110000,30000,NA,"","","UNITED STATES","North Carolina","HUNTERSVILLE","11 - 20 years","1 year or less","Master's degree","Man","White"
"25-34","education (higher education)","ADMINISTRATIVE ASSISTANT","",45000,0,NA,"","","UNITED STATES","Massachusetts","BOSTON","2 - 4 years","2 - 4 years","College degree","Woman","White"
"45-54","health care","EXECUTIVE ASSISTANT","",83500,5000,NA,"","5000 is salary packaging benefit (NFP), income figure does not include superannuation ","AUSTRALIA",NA,"MELLBOURNE","21 - 30 years","11 - 20 years","Some college","Woman","White"
"35-44","computing or tech","PRINCIPAL RECRUITER","manager level individual contributor",115500,13035,NA,"","","UNITED STATES","Colorado","COLORADO SPRINGS","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","nonprofits","SENIOR POLICY ANALYST","I work for a nonprofit health advocacy organization - this role is pretty standard in that field",68958,0,NA,"","","UNITED STATES","District of Columbia","WASHINGTON, DC","8 - 10 years",NA,"Master's degree","Woman","White"
"45-54","public library","BRANCH MANAGER","",58000,0,NA,"","","UNITED STATES","New Jersey","RURAL","21 - 30 years","21 - 30 years","Master's degree","Woman","White"
"45-54","art and design","SENIOR CREATIVE DESIGNER","graphic designer at private country club. 75% print (newsletters, posters, signs), 25% digital (graphics for social media, digital signage)",59000,500,NA,"","","UNITED STATES","Florida","DELRAY BEACH","21 - 30 years","21 - 30 years","College degree","Not reported","Another option not listed here or prefer not to answer"
"18-24","engineering or manufacturing","WAREHOUSE ANALYST","",74000,2000,NA,"","","UNITED STATES","Texas","NA","2 - 4 years","5-7 years","College degree","Woman","Middle Eastern or Northern African"
"25-34","computing or tech","QA ASSISTANT MANAGER","",52000,1000,NA,"","","UNITED STATES","California","MOUNTAIN VIEW","5-7 years","2 - 4 years","College degree","Woman","Asian or Asian American"
"18-24","computing or tech","PRODUCT MARKETER","",0,0,NA,"","Start up without funding. Compensation is in stocks. ","UNITED STATES","California","SANTA CLARA","1 year or less","1 year or less","College degree","Man","Asian or Asian American"
"18-24","engineering or manufacturing","ADMINISTRATIVE ASSISTANT","AA to Vice President of Operations and Technology ",40000,NA,NA,"","","UNITED STATES","Wisconsin","JANESVILLE","1 year or less","1 year or less","College degree","Woman","White"
"25-34","law","ASSISTANT ATTORNEY GENERAL","",93000,0,NA,"","","UNITED STATES","Michigan","DETROIT, MI","8 - 10 years",NA,"PhD","Woman","White"
"25-34","insurance","QA","IT quality assurance",1e+05,20000,"Other","MYR","","MALAYSIA",NA,"KUALA LUMPUR","11 - 20 years","11 - 20 years","College degree","Woman","Asian or Asian American"
"25-34","health care","REGULATORY SPECIALIST","",58635,NA,NA,"","","UNITED STATES","Kentucky","LEXINGTON","2 - 4 years","2 - 4 years","College degree","Woman","Asian or Asian American"
"25-34","nonprofits","PROJECT COORDINATOR","",53000,0,NA,"","","CANADA",NA,"TORONTO","5-7 years","5-7 years","College degree","Woman","White"
"25-34","property or construction","ELECTRICIAN APPRENTICE","",35000,1000,NA,"","","UNITED STATES","Utah","SALT LAKE","2 - 4 years","5-7 years","Some college","Man","White"
"18-24","education (higher education)","GRADUATE STUDENT","Specializing in immunology ",41050,0,NA,"","As a grad student at NIH, my salary is directly determined by a standard formula accounting for initial amount of experience + # of years worked (no negotiation, and annual pre-set raises). Table can be found here: https://www.training.nih.gov/predoctoral_irta_stipend_levels 
It’s also an appointment explicitly designed to end w/in 5 years and result in a terminal degree (PhD). ","UNITED STATES","Maryland","BETHESDA","2 - 4 years","2 - 4 years","College degree","Woman","White"
"35-44","government and public administration","ADMINISTRATIVE JUSTICE","",135000,0,NA,"","","CANADA",NA,"EDMONTON","11 - 20 years",NA,"College degree","Woman","White"
"35-44","law","SENIOR STAFF ATTORNEY","Public interest non-profit lawyer",65000,0,NA,"","","UNITED STATES","Michigan","LANSING, MI","11 - 20 years","11 - 20 years","Professional degree (MD, JD, etc.)","Woman","White"
"35-44","education (higher education)","ROFESSOR","",80000,NA,NA,"","","GERMANY",NA,"LEMGO","11 - 20 years","11 - 20 years","PhD","Man","White"
"35-44","government and public administration","PROGRAM ANALYST","",117000,0,NA,"","","UNITED STATES","Virginia","QUANTICO","11 - 20 years",NA,"Master's degree","Woman","White"
"25-34","computing or tech","STAFF DATA SCIENTIST","",169000,16900,NA,"","","UNITED STATES","California","SAN FRANCISCO","5-7 years","5-7 years","PhD","Woman","White"
"45-54","nonprofits","INFORMATION AND SYSTEMS OFFICER","Dealing with IT and data protection",42600,NA,NA,"","","UNITED KINGDOM/UK",NA,"LONDON","21 - 30 years",NA,"PhD","Woman","White"
"25-34","hospitality and events","BARISTA","",31200,520,NA,"","I actually only work part-time (20-23/h a week) so I make about half of what I entered for yearly salary, & the extra is untaxed tips. ","CANADA",NA,"VICTORIA, BC","11 - 20 years","11 - 20 years","High School","Non-binary","White"
"35-44","computing or tech","INFORMATION ARCHITECT","Technical Writing background",103000,40000,NA,"","Quarterly bonuses based on company profit","UNITED STATES","North Carolina","RALEIGH","8 - 10 years",NA,"Master's degree","Woman","White"
"25-34","health care","STAFF PHARMACIST MANAGER","Manage team of 20 pharmacists for a specialty mail order pharmacy",138000,15000,NA,"","","UNITED STATES","Indiana","INDIANAPOLIS","8 - 10 years",NA,"Professional degree (MD, JD, etc.)","Woman","White"
"25-34","health care","HISTOLOGY TECHNICIAN","Laboratory ",70000,NA,NA,"","Before tax","UNITED STATES","Texas","HOUSTON","8 - 10 years",NA,"College degree","Woman","White"
"35-44","computing or tech","SCRUM MASTER","Think team and organization process coach",127000,6400,NA,"","","UNITED STATES","Ohio","COLUMBUS","21 - 30 years","11 - 20 years","College degree","Woman","Black or African American"
"25-34","veterinary","MEDICAL CLINIC DIRECTOR","Veterinary technician managing the medical program for the local humane society",47000,NA,NA,"","","UNITED STATES","Vermont","SOUTH BURLINGTON","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","education (higher education)","PHD STUDENT","",16000,NA,NA,"","","UNITED KINGDOM/UK",NA,"MANCHESTER","2 - 4 years","5-7 years","Master's degree","Woman","White"
"35-44","education (higher education)","PROGRAM OPERATIONS SPECIALIST","My role is Program & Events Manager at a humanities center",63000,0,NA,"","","UNITED STATES","Washington","SEATTLE","8 - 10 years","2 - 4 years","PhD","Woman","White"
"25-34","transport or logistics","ADMINISTRATION","Fleet manager, csr, admin, depot management, intermodal",55000,0,NA,"","","UNITED STATES","Tennessee","KINGSPORT","5-7 years","5-7 years","High School","Woman","White"
"55-64","insurance","COMMERCIAL LINES ACCOUNT MANAGER","",64200,0,NA,"","","UNITED STATES","Massachusetts","GEORGETOWN","31 - 40 years","31 - 40 years","Some college","Woman","White"
"25-34","nonprofits","SYSTEMS LIBRARIAN","",54000,NA,NA,"","Full-time at 35hrs/week","UNITED STATES","New York","ROCHESTER, NY","8 - 10 years","2 - 4 years","Master's degree","Man","White"
"45-54","computing or tech","FRONT-END DEVELOPER","",135000,NA,NA,"","","UNITED STATES","Massachusetts","ANDOVER","21 - 30 years","21 - 30 years","Some college","Man","White"
"25-34","sales","ACCOUNT MANAGER","Fintech software sales",117500,6000,NA,"","","UNITED STATES","New York","NYC","8 - 10 years",NA,"College degree","Woman","Asian or Asian American"
"55-64","recruitment or hr","HR MANAGER","",152000,NA,NA,"","","UNITED STATES","Texas","KATY","21 - 30 years","21 - 30 years","College degree","Woman","White"
"25-34","business or consulting","ASSOCIATE DIRECTOR","Marketint",83000,6000,NA,"","","UNITED STATES","District of Columbia","WASHINGTON","2 - 4 years","2 - 4 years","College degree","Woman","White"
NA,"","","",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"",""
"45-54","engineering or manufacturing","HR DIRECTOR","",107000,7000,NA,"","","UNITED STATES","New York","ALBANY","21 - 30 years","11 - 20 years","College degree","Woman","White"
"35-44","education (higher education)","DIRECTOR OF ENROLLMENT MANAGEMENT","Responsible for the admissions and enrollment of graduate students at a university",110000,NA,NA,"","","UNITED STATES","Rhode Island","PROVIDENCE","11 - 20 years","11 - 20 years","Master's degree","Woman","Asian or Asian American"
"45-54","accounting, banking and finance","DIRECTOR OF OPERATIONS","",136750,20000,NA,"","","UNITED STATES","Oregon","PORTLAND","31 - 40 years","21 - 30 years","College degree","Man","White"
"18-24","science/research (academia)","GRADUATE RESEARCH ASSISTANT","",38784,0,NA,"","","UNITED STATES","Washington","SEATTLE","2 - 4 years","2 - 4 years","College degree","Woman","White"
"45-54","nonprofits","OFFICE MANAGER","",57000,NA,NA,"","","UNITED STATES","Washington","REDMOND","21 - 30 years","11 - 20 years","College degree","Woman","White"
"35-44","leisure, sport and tourism","PAYROLL SPECIALIST","Includes benefits administration ",46800,2500,NA,"","","UNITED STATES","Connecticut","GUILFORD","21 - 30 years",NA,"College degree","Woman","White"
"45-54","accounting, banking and finance","PROJECT MANAGER","",178000,30000,NA,"","","UNITED STATES","Maryland","BALTIMORE","31 - 40 years","31 - 40 years","Master's degree","","White"
"35-44","computing or tech","GENERAL MANAGER","",320000,7e+05,NA,"","","UNITED STATES","California","SAN FRANCISCO","21 - 30 years","21 - 30 years","Professional degree (MD, JD, etc.)","Man","White"
"25-34","health care","SUPPLY CHAIN MANAGER","",130000,0,NA,"","","UNITED STATES","Illinois","CHICAGO","8 - 10 years","2 - 4 years","College degree","Woman","White"
"25-34","education (primary/secondary)","LIBRARY MEDIA SPECIALIST","",47094,NA,NA,"","","UNITED STATES","Wisconsin","EAU CLAIRE","8 - 10 years",NA,"College degree","Woman","White"
"25-34","health care","REGISTERED NURSE","",67900,NA,NA,"","","UNITED STATES","Minnesota","MINNEAPOLIS","11 - 20 years","2 - 4 years","College degree","Woman","White"
"35-44","property or construction","VP OF DEVELOPMENT","Construction Development. Not fundraising ",175000,1000,NA,"","Bonuses related to individual projects not included. ","UNITED STATES","New Jersey","NEWARK, NJ","8 - 10 years",NA,"Master's degree","Woman","White"
"35-44","education (primary/secondary)","TEACHER","High school, English",75000,NA,NA,"","","UNITED STATES","Ohio","HUDSON","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"35-44","media and digital","ASSOCIATE MAGAZINE EDITOR","Midlevel writer/editor for scientific association (nonprofit) magazine.",56000,1000,NA,"","I know my pay is very low, but the benefits are great and the workplace is flexible. (100% employer paid healthcare, 4+ weeks vacation, 11 paid holidays, 10 sick days, 403b contributions)","UNITED STATES","District of Columbia","WASHINGTON, DC","11 - 20 years",NA,"Master's degree","Woman","White"
"25-34","libraries and archives","PROCESSING COORDINATOR","",39000,0,NA,"","","UNITED STATES","Virginia","FAIRFAX","5-7 years","5-7 years","Master's degree","Woman","Hispanic, Latino, or Spanish origin, White"
